id name d_price,d_vol,d_trades,d_min,d_max ds_price,ds_vol,ds_trades h_price,h_vol,h_trades
851 green_harness 378821,28,28,10000,1000000 378821,28,28 82875,32,32
852 red_harness 1037282,78,78,5000,50000000 1037282,78,78 550000,2,2
853 black_harness 122125,160,160,2000,1000000 122125,160,160 73359,78,78
854 minecart 32291,7727,7727,1901,1000000 32291,7727,7727 15927,3035,3035
855 chest_minecart 50291,8192,8192,2000,1000000 50291,8192,8192 43675,2073,2073
856 furnace_minecart 2667019,178,178,1001,50000000 2667019,178,178 136326,58,58
857 tnt_minecart 23126,9090,9090,4000,500000 23126,9090,9090 18121,3100,3100
858 hopper_minecart 26526,9248,9248,3000,290000 26526,9248,9248 27026,3028,3028
859 carrot_on_a_stick 163072,227,227,10000,2000000 163072,227,227 190460,50,50
860 warped_fungus_on_a_stick 106415,337,337,9999,9900000 106415,337,337 94314,66,66
861 phantom_membrane 8345,3847,511,760,125000 489696,1984,31 6983,1110,113
862 elytra 363358892,3510,3510,310000005,490000015 363358892,3510,3510 357528543,873,873
863 oak_boat 59075,3012,3012,1000,99000003 59075,3012,3012 18853,1468,1468
864 oak_chest_boat 899499,279,279,500,200000000 899499,279,279 563533,30,30
865 spruce_boat 39712,9720,9720,200,300000010 39712,9720,9720 11581,3379,3379
866 spruce_chest_boat 93651,309,309,5000,1000000 93651,309,309 98036,86,86
867 birch_boat 9825,1183,1183,1000,100000 9825,1183,1183 24749,347,347
868 birch_chest_boat 24142393,43,43,20000,999999980 24142393,43,43 82917,12,12
869 jungle_boat 24030,365,365,500,1500000 24030,365,365 23068,161,161
870 jungle_chest_boat 585000,10,10,1000,1000000 585000,10,10 550000,8,8
871 acacia_boat 74861,292,292,2000,2000000 74861,292,292 103660,82,82
872 acacia_chest_boat 129167,36,36,50000,1000000 129167,36,36 1375000,8,8
873 cherry_boat 964629,701,701,1000,298999992 964629,701,701 1470326,180,180
874 cherry_chest_boat 369478,67,67,80000,3000000 369478,67,67 1500000,2,2
