item,price,price_src,ah_value,units_per_day,trades_per_day,pull,capture,thinness,corner_cost,bid_change_pct,bid_now,top_outputs
deepslate_tiles,5.0,orders,0.0,0,0,56835017,11367003.5,56835017,0,,,"deepslate_tile_slab(24,489,084); deepslate_tile_stairs(20,965,032); deepslate_tile_wall(11,380,901)"
nether_wart,52.0,orders,1703.0,221178,3899,590407216,11353984.9,2669,11501256,,,"base of every potion(376,666,134); red_nether_bricks(211,339,906); nether_wart_block(2,401,176)"
acacia_wood,50.0,orders,7656.0,2420,44,566198228,11323964.6,233966,121000,,,"soul_campfire(376,000,000); smoker(105,911,140); campfire(84,287,087)"
oak_wood,50.9,orders,3281.0,27104,442,566198228,11123737.3,20890,1379594,,,"soul_campfire(376,000,000); smoker(105,911,140); campfire(84,287,087)"
spruce_slab,93.8,ah,155.0,598430,9551,1028400452,10969604.8,1718,56102812,,,"lectern(490,087,500); barrel(332,685,738); composter(87,348,214)"
item_frame,33.0,orders,4688.0,331371,15166,359242400,10886133.3,1084,10935243,,,"glow_item_frame(359,242,400)"
egg,28.0,orders,1250.0,166002,10548,289685775,10345920.5,1745,4648056,,,"cake(271,200,000); pumpkin_pie(18,485,775)"
acacia_slab,109.4,ah,156.0,1984,40,1028400452,9402088.6,518347,217010,,,"lectern(490,087,500); barrel(332,685,738); composter(87,348,214)"
andesite,11.0,orders,1563.0,96696,1683,100287464,9117042.2,1037,1063656,,,"polished_andesite(57,257,951); andesite_wall(19,350,952); andesite_stairs(15,731,804)"
spruce_log,72.0,orders,328.0,889378,15463,649790217,9024864.1,731,64035216,-5.3,72,"soul_campfire(376,000,000); smoker(105,911,140); campfire(84,287,087)"
bamboo,14.0,orders,93.8,350849,5824,125584306,8970307.5,358,4911886,-12.5,14,"stick(73,082,526); scaffolding(43,709,391); bamboo_block(8,792,388)"
glowstone,430.0,orders,8333.0,288488,10157,3813263076,8868053.7,13218,124049840,,,"respawn anchors + potion II(2,403,970,504); respawn_anchor(1,198,552,908); redstone_lamp(210,739,664)"
jungle_log,66.0,orders,703.0,47753,1115,585115272,8865382.9,12253,3151698,,,"soul_campfire(376,000,000); smoker(105,911,140); campfire(84,287,087)"
melon_slice,10.0,orders,469.0,83226,1525,81802971,8180297.1,983,832260,,,"glistering_melon_slice(61,549,443); melon_seeds(14,043,555); melon(6,209,973)"
rabbit_hide,13.1,orders,2333.0,865,167,103226380,7879876.3,119337,11332,,,"leather(103,226,380)"
compass,700.0,orders,0.0,20766,2260,5510263469,7871805.0,265350,14536200,,,"map(5,460,698,469); recovery_compass(49,565,000)"
pink_dye,140.6,ah,188.0,162208,2624,1072838334,7629343.9,6614,22809689,,,"pink_terracotta(377,984,375); pink_carpet(182,381,952); pink_wool(141,147,880)"
oak_log,85.1,orders,625.0,292085,5428,648737324,7626820.2,2221,24844750,,,"soul_campfire(376,000,000); smoker(105,911,140); campfire(84,287,087)"
leather,283.0,orders,1719.0,240201,5488,2055048296,7261654.8,8556,67976883,,,"item_frame(1,553,467,248); bundle(412,335,000); orange_harness(21,000,000)"
carrot,90.0,orders,1406.0,475252,7649,644824744,7164719.4,1357,42772680,,,"golden_carrot(623,224,744); rabbit_stew(10,800,000); rabbit_stew(10,800,000)"
dark_oak_log,100.0,orders,312.0,170443,2799,700213361,7002133.6,4108,17044300,,,"soul_campfire(376,000,000); dark_oak_planks(113,245,602); smoker(105,911,140)"
