raw,buy,buy_src,chain,out,units_per_raw,other_cost_per_raw,value_med_per_raw,value_con_per_raw,profit_med_per_raw,profit_con_per_raw,out_vol_day,out_trades_day,out_med,out_con
string,72.0,orders,string x1 -> candle x1 -> purple_candle x1,purple_candle,1.0,881.0,84000.0,84000.0,83047.0,83047.0,6559,203,84000.0,84000.0
string,72.0,orders,string x2 -> loom x1,loom,0.5,32.0,27500.0,25000.0,27396.0,24896.0,11117,900,55000.0,50000.0
string,72.0,orders,string x2 -> loom x1,loom,0.5,45.0,27500.0,25000.0,27383.0,24883.0,11117,900,55000.0,50000.0
string,72.0,orders,string x2 -> loom x1,loom,0.5,52.0,27500.0,25000.0,27376.0,24876.0,11117,900,55000.0,50000.0
string,72.0,orders,string x2 -> loom x1,loom,0.5,156.2,27500.0,25000.0,27271.8,24771.8,11117,900,55000.0,50000.0
leather,283.0,orders,(sell raw as-is on AH),leather,1,0,1719.0,1719.0,1436.0,1436.0,240201,5488,1719.0,1719.0
leather,283.0,orders,leather x3 -> blue_harness x1,blue_harness,0.333,210.0,166666.7,166666.7,166173.7,166173.7,56,56,500000.0,500000.0
leather,283.0,orders,leather x3 -> pink_harness x1,pink_harness,0.333,240.0,250000.0,166666.7,249477.0,166143.7,20,20,750000.0,500000.0
leather,283.0,orders,leather x3 -> black_harness x1 -> pink_harness x1,pink_harness,0.333,243.5,250000.0,166666.7,249473.5,166140.1,20,20,750000.0,500000.0
leather,283.0,orders,leather x3 -> black_harness x1 -> blue_harness x1,blue_harness,0.333,451.9,166666.7,166666.7,165931.8,165931.8,56,56,500000.0,500000.0
leather,283.0,orders,leather x3 -> black_harness x1 -> orange_harness x1,orange_harness,0.333,664.0,1000000.0,133333.3,999053.0,132386.3,21,21,3000000.0,400000.0
leather,283.0,orders,leather x3 -> orange_harness x1,orange_harness,0.333,1624.3,1000000.0,133333.3,998092.7,131426.0,21,21,3000000.0,400000.0
slime_ball,40.0,orders,(sell raw as-is on AH),slime_ball,1,0,469.0,469.0,429.0,429.0,107749,1882,469.0,469.0
