output,out_n,inputs,cost,sell_unit,sell_channel,revenue,profit_per_craft,margin_pct,profit_per_input_item,crafts_per_hr_per_line,profit_per_hr_per_line,out_daily_ah_units,out_daily_trades,max_profit_per_day_by_volume,ah_single_sell,sell_basis,out_n_tx,stale_order_input
beacon,1,glass x5 @280o + nether_star x1 @111000o + obsidian x3 @601o,114203.0,250000.0,ah,250000.0,135797.0,118.9,15088.56,1000,135797000,31906,1835,4332739082,274500.0,tx_med,15,STALE-JUN25
light_blue_bed,1,light_blue_wool x3 @3215a + spruce_planks x3 @32o,9741.0,100000.0,ah,100000.0,90259.0,926.6,15043.17,1500,135388500,330,330,29785470,100000.0,tx_med,15,STALE-JUN25
light_blue_bed,1,light_blue_wool x3 @3215a + acacia_planks x3 @45o,9780.0,100000.0,ah,100000.0,90220.0,922.5,15036.67,1500,135330000,330,330,29772600,100000.0,tx_med,15,STALE-JUN25
light_blue_bed,1,light_blue_wool x3 @3215a + oak_planks x3 @52o,9801.0,100000.0,ah,100000.0,90199.0,920.3,15033.17,1500,135298500,330,330,29765670,100000.0,tx_med,15,STALE-JUN25
light_blue_bed,1,light_blue_wool x3 @3215a + birch_planks x3 @156a,10113.8,100000.0,ah,100000.0,89886.2,888.8,14981.04,1500,134829375,330,330,29662462,100000.0,tx_med,15,
black_bed,1,black_wool x3 @30o + spruce_planks x3 @32o,186.0,90000.0,ah,90000.0,89814.0,48287.1,14969.0,1500,134721000,1962,1962,176215068,90000.0,tx_med,15,STALE-JUN25
black_bed,1,black_wool x3 @30o + acacia_planks x3 @45o,225.0,90000.0,ah,90000.0,89775.0,39900.0,14962.5,1500,134662500,1962,1962,176138550,90000.0,tx_med,15,STALE-JUN25
black_bed,1,black_wool x3 @30o + oak_planks x3 @52o,246.0,90000.0,ah,90000.0,89754.0,36485.4,14959.0,1500,134631000,1962,1962,176097348,90000.0,tx_med,15,STALE-JUN25
light_blue_bed,1,light_blue_wool x3 @3215a + jungle_planks x3 @250a,10395.0,100000.0,ah,100000.0,89605.0,862.0,14934.17,1500,134407500,330,330,29569650,100000.0,tx_med,15,
black_bed,1,black_wool x3 @30o + birch_planks x3 @156a,558.8,90000.0,ah,90000.0,89441.2,16007.4,14906.88,1500,134161875,1962,1962,175483732,90000.0,tx_med,15,STALE-JUN25
black_bed,1,black_wool x3 @30o + jungle_planks x3 @250a,840.0,90000.0,ah,90000.0,89160.0,10614.3,14860.0,1500,133740000,1962,1962,174931920,90000.0,tx_med,15,STALE-JUN25
light_blue_bed,1,light_blue_wool x3 @3215a + bamboo_planks x3 @469a,11052.0,100000.0,ah,100000.0,88948.0,804.8,14824.67,1500,133422000,330,330,29352840,100000.0,tx_med,15,
black_bed,1,black_wool x3 @30o + bamboo_planks x3 @469a,1497.0,90000.0,ah,90000.0,88503.0,5912.0,14750.5,1500,132754500,1962,1962,173642886,90000.0,tx_med,15,STALE-JUN25
light_blue_bed,1,light_blue_wool x3 @3215a + pale_oak_planks x3 @655a,11609.8,100000.0,ah,100000.0,88390.2,761.3,14731.7,1500,132585270,330,330,29168759,100000.0,tx_med,15,
light_blue_bed,1,light_blue_wool x3 @3215a + cherry_planks x3 @781a,11988.8,100000.0,ah,100000.0,88011.2,734.1,14668.54,1500,132016875,330,330,29043712,100000.0,tx_med,15,
black_bed,1,black_wool x3 @30o + pale_oak_planks x3 @655a,2054.8,90000.0,ah,90000.0,87945.2,4279.9,14657.53,1500,131917770,1962,1962,172548443,90000.0,tx_med,15,STALE-JUN25
wheat,9,hay_block x1 @2100o,2100.0,1859.0,ah,16731.0,14631.0,696.7,14631.0,9000,131679000,228627,3800,371671293,868.0,tx_stack_med,15,STALE-JUN25
warped_trapdoor,2,warped_planks x6 @2049a,12294.3,50000.0,ah,100000.0,87705.7,713.4,14617.62,1500,131558550,23316,1417,1022473051,50000.0,tx_med,15,
black_bed,1,black_wool x3 @30o + cherry_planks x3 @781a,2433.8,90000.0,ah,90000.0,87566.2,3598.0,14594.38,1500,131349375,1962,1962,171804982,90000.0,tx_med,15,STALE-JUN25
shulker_box,1,shulker_shell x2 @2800o + chest x1 @558a,6158.2,49900.0,ah,49900.0,43741.8,710.3,14580.59,3000,131225310,26223,26223,1147040435,49900.0,tx_med,15,
light_blue_bed,1,light_blue_wool x3 @3215a + dark_oak_planks x3 @1041a,12767.7,100000.0,ah,100000.0,87232.3,683.2,14538.72,1500,130848495,330,330,28786669,100000.0,tx_med,15,
light_blue_bed,1,light_blue_wool x3 @3215a + crimson_planks x3 @1094a,12927.0,100000.0,ah,100000.0,87073.0,673.6,14512.17,1500,130609500,330,330,28734090,100000.0,tx_med,15,
mangrove_fence,3,mangrove_planks x4 @1717a + stick x2 @5o,6878.0,31250.0,ah,93750.0,86872.0,1263.0,14478.67,1500,130308000,4252,75,123126581,49673.0,tx_stack_med,15,STALE-JUN25
black_bed,1,black_wool x3 @30o + dark_oak_planks x3 @1041a,3212.7,90000.0,ah,90000.0,86787.3,2701.4,14464.56,1500,130180995,1962,1962,170276741,90000.0,tx_med,15,STALE-JUN25
black_bed,1,black_wool x3 @30o + crimson_planks x3 @1094a,3372.0,90000.0,ah,90000.0,86628.0,2569.0,14438.0,1500,129942000,1962,1962,169964136,90000.0,tx_med,15,STALE-JUN25
polished_diorite_slab,6,polished_diorite x3 @1172a,3515.6,7688.0,ah,46128.0,42612.4,1212.1,14204.12,3000,127837080,22795,365,161891458,6969.0,tx_stack_med,15,
light_blue_bed,1,light_blue_wool x3 @3215a + mangrove_planks x3 @1717a,14796.0,100000.0,ah,100000.0,85204.0,575.9,14200.67,1500,127806000,330,330,28117320,100000.0,tx_med,15,
black_bed,1,black_wool x3 @30o + mangrove_planks x3 @1717a,5241.0,90000.0,ah,90000.0,84759.0,1617.2,14126.5,1500,127138500,1962,1962,166297158,90000.0,tx_med,15,STALE-JUN25
light_blue_bed,1,light_blue_wool x3 @3215a + warped_planks x3 @2049a,15792.2,100000.0,ah,100000.0,84207.9,533.2,14034.64,1500,126311775,330,330,27788591,100000.0,tx_med,15,
crimson_hanging_sign,6,iron_chain x2 @1563a + stripped_crimson_stem x6 @5781a,37812.0,25000.0,ah,150000.0,112188.0,296.7,14023.5,1125,126211500,663,67,12396774,250000.0,tx_stack_med,15,
copper_nugget,9,copper_ingot x1 @63o,63.0,1563.0,ah,14067.0,14004.0,22228.6,14004.0,9000,126036000,1414,42,2200184,4735.0,tx_stack_med,15,STALE-JUN25
black_bed,1,black_wool x3 @30o + warped_planks x3 @2049a,6237.2,90000.0,ah,90000.0,83762.9,1343.0,13960.48,1500,125644275,1962,1962,164342712,90000.0,tx_med,15,STALE-JUN25
lectern,1,spruce_slab x4 @94a + bookshelf x1 @50o,425.0,70000.0,ah,70000.0,69575.0,16370.6,13915.0,1800,125235000,28005,3027,1948447875,70000.0,tx_med,15,STALE-JUN25
lectern,1,acacia_slab x4 @109a + bookshelf x1 @50o,487.5,70000.0,ah,70000.0,69512.5,14258.4,13902.5,1800,125122464,28005,3027,1946697002,70000.0,tx_med,15,STALE-JUN25
iron_nugget,9,iron_ingot x1 @170o,170.0,1563.0,ah,14067.0,13897.0,8174.7,13897.0,9000,125073000,8570,240,13233032,1149.0,tx_stack_med,15,STALE-JUN25
tide_armor_trim_smithing_template,2,diamond x7 @5713a + tide_armor_trim_smithing_template x1 @12000o + prismarine x1 @2945a,54933.6,90000.0,ah,180000.0,125066.4,227.7,13896.27,1000,125066440,1011,518,63221085,90000.0,tx_med,15,STALE-JUN25
lectern,1,dark_oak_slab x4 @156a + bookshelf x1 @50o,674.0,70000.0,ah,70000.0,69326.0,10285.8,13865.2,1800,124786800,28005,3027,1941474630,70000.0,tx_med,15,STALE-JUN25
lectern,1,birch_slab x4 @312a + bookshelf x1 @50o,1300.0,70000.0,ah,70000.0,68700.0,5284.6,13740.0,1800,123660000,28005,3027,1923943500,70000.0,tx_med,15,STALE-JUN25
loom,1,string x2 @72o + spruce_planks x2 @32o,208.0,55000.0,ah,55000.0,54792.0,26342.3,13698.0,2250,123282000,11117,900,609122664,55000.0,tx_med,15,STALE-JUN25
loom,1,string x2 @72o + acacia_planks x2 @45o,234.0,55000.0,ah,55000.0,54766.0,23404.3,13691.5,2250,123223500,11117,900,608833622,55000.0,tx_med,15,STALE-JUN25
loom,1,string x2 @72o + oak_planks x2 @52o,248.0,55000.0,ah,55000.0,54752.0,22077.4,13688.0,2250,123192000,11117,900,608677984,55000.0,tx_med,15,STALE-JUN25
mud_brick_slab,6,mud_bricks x3 @50o,150.0,6859.0,ah,41154.0,41004.0,27336.0,13668.0,3000,123012000,11637,197,79527258,1000000.0,tx_stack_med,15,STALE-JUN25
pink_terracotta,8,terracotta x8 @250a + pink_dye x1 @141a,2140.6,15625.0,ah,125000.0,122859.4,5739.4,13651.04,1000,122859380,24191,379,371511408,8671.0,tx_stack_med,15,
